disease,severity,tmean_c,rain_7d_mm,humidity_pct,risk_level
anthracnose,moderate,23.24,0.83,60.2,LOW
anthracnose,mild,27.6,15.9,68.5,MEDIUM
leaf_curl,mild,25.0,0.93,64.4,HIGH
mosaic,severe,28.98,2.79,85.1,CRITICAL
anthracnose,mild,30.05,14.09,84.8,MEDIUM
mosaic,moderate,32.93,14.33,60.9,HIGH
mites,severe,29.1,24.18,53.0,CRITICAL
mosaic,severe,35.91,46.37,56.3,HIGH
anthracnose,severe,24.6,12.72,83.7,CRITICAL
leaf_curl,mild,27.75,7.99,83.2,HIGH
mites,severe,28.47,6.78,43.7,CRITICAL
mosaic,moderate,29.09,12.35,73.1,HIGH
leaf_curl,moderate,28.02,21.34,70.9,CRITICAL
mites,severe,26.34,9.63,49.7,CRITICAL
leaf_curl,moderate,28.37,28.36,82.5,CRITICAL
anthracnose,mild,26.36,7.09,79.6,MEDIUM
anthracnose,mild,18.0,90.74,64.0,MEDIUM
mosaic,moderate,20.51,8.61,57.3,HIGH
leaf_curl,mild,30.08,71.98,90.5,MEDIUM
leaf_curl,mild,28.46,60.75,48.0,MEDIUM
mosaic,moderate,33.58,23.78,38.1,CRITICAL
mites,mild,26.44,14.28,58.4,MEDIUM
anthracnose,mild,25.53,5.76,79.0,MEDIUM
mites,severe,28.38,2.64,51.5,CRITICAL
mosaic,mild,27.91,1.25,54.5,HIGH
anthracnose,moderate,27.11,13.81,73.2,MEDIUM
mites,severe,24.48,4.56,47.0,CRITICAL
leaf_curl,moderate,26.49,52.89,71.2,CRITICAL
leaf_curl,mild,28.19,51.08,96.2,MEDIUM
mosaic,mild,26.59,52.64,68.5,MEDIUM
anthracnose,mild,28.82,0.97,68.5,MEDIUM
leaf_curl,moderate,28.74,28.79,94.2,CRITICAL
leaf_curl,mild,21.1,1.66,87.1,MEDIUM
leaf_curl,severe,33.35,2.61,70.2,CRITICAL
anthracnose,severe,27.68,2.12,86.3,CRITICAL
anthracnose,mild,30.44,1.4,78.6,MEDIUM
leaf_curl,moderate,27.46,22.11,73.8,CRITICAL
leaf_curl,mild,34.56,16.31,79.7,HIGH
mosaic,moderate,29.75,0.75,91.3,CRITICAL
leaf_curl,severe,29.36,2.05,68.0,CRITICAL
mites,severe,27.56,5.84,58.1,HIGH
leaf_curl,severe,32.2,24.72,64.2,CRITICAL
mosaic,mild,32.25,9.0,64.3,HIGH
mites,severe,31.75,33.03,47.0,CRITICAL
mosaic,mild,32.55,7.68,75.3,MEDIUM
mites,moderate,24.9,7.97,59.6,MEDIUM
mosaic,severe,26.73,6.19,35.4,CRITICAL
mosaic,severe,20.92,14.66,34.7,CRITICAL
leaf_curl,moderate,29.56,30.72,95.3,CRITICAL
anthracnose,severe,20.4,1.23,80.8,HIGH
leaf_curl,moderate,26.53,14.03,86.6,CRITICAL
mites,moderate,27.04,8.01,59.1,MEDIUM
mites,moderate,34.47,8.82,62.8,HIGH
mites,mild,30.61,11.3,58.0,MEDIUM
mites,moderate,28.48,1.29,67.3,CRITICAL
mites,severe,27.52,18.87,72.8,MEDIUM
anthracnose,moderate,24.08,90.73,75.8,CRITICAL
anthracnose,mild,20.39,51.49,65.7,MEDIUM
mosaic,mild,30.77,11.88,77.0,MEDIUM
mosaic,severe,33.12,11.5,55.0,CRITICAL
leaf_curl,mild,28.48,96.41,63.2,MEDIUM
mosaic,severe,27.44,17.82,48.4,CRITICAL
leaf_curl,mild,27.96,7.24,88.2,MEDIUM
mosaic,severe,26.73,12.9,65.5,CRITICAL
leaf_curl,severe,19.86,69.85,87.3,HIGH
anthracnose,severe,29.95,5.61,72.5,HIGH
leaf_curl,mild,29.58,0.17,74.6,HIGH
leaf_curl,moderate,29.71,9.34,84.5,CRITICAL
leaf_curl,moderate,29.83,1.25,90.2,HIGH
mites,severe,25.36,6.06,79.9,HIGH
mites,mild,29.21,9.84,55.8,MEDIUM
mosaic,mild,25.8,22.47,59.7,HIGH
leaf_curl,mild,25.71,26.74,75.3,HIGH
leaf_curl,moderate,26.59,98.75,86.6,HIGH
anthracnose,severe,23.51,6.12,65.1,MEDIUM
leaf_curl,severe,21.68,24.6,91.7,CRITICAL
mites,moderate,36.69,2.02,74.7,CRITICAL
anthracnose,severe,28.28,9.45,84.9,CRITICAL
mosaic,mild,27.37,17.25,78.8,MEDIUM
anthracnose,moderate,27.93,3.99,82.8,HIGH
anthracnose,moderate,19.11,43.1,99.4,MEDIUM
mites,severe,33.46,5.63,65.2,CRITICAL
leaf_curl,moderate,32.7,14.56,80.2,CRITICAL
mites,severe,31.24,0.68,62.2,CRITICAL
leaf_curl,moderate,22.87,41.57,85.9,HIGH
mites,mild,27.75,19.89,38.3,LOW
anthracnose,moderate,25.07,20.12,79.0,HIGH
mosaic,moderate,30.75,1.18,87.6,CRITICAL
mosaic,severe,25.7,9.91,67.2,CRITICAL
mosaic,moderate,29.96,7.33,66.1,CRITICAL
leaf_curl,moderate,25.48,29.41,56.4,CRITICAL
anthracnose,mild,36.89,18.46,67.2,LOW
mites,severe,24.68,4.08,76.8,CRITICAL
anthracnose,mild,22.33,6.76,80.8,MEDIUM
anthracnose,severe,24.51,44.09,64.1,CRITICAL
leaf_curl,severe,28.45,2.73,67.6,CRITICAL
mosaic,moderate,29.61,8.43,57.6,CRITICAL
anthracnose,moderate,32.82,43.02,74.5,MEDIUM
anthracnose,moderate,28.36,55.84,67.3,CRITICAL
mosaic,mild,31.56,5.77,77.8,MEDIUM
leaf_curl,mild,29.77,1.56,81.0,HIGH
mites,mild,26.85,2.38,58.9,MEDIUM
mites,severe,29.44,4.42,52.7,CRITICAL
mosaic,mild,29.46,0.15,58.2,HIGH
anthracnose,mild,28.48,29.05,59.0,MEDIUM
leaf_curl,severe,19.12,7.17,74.8,CRITICAL
mites,severe,27.11,9.93,66.1,HIGH
mites,mild,24.95,41.89,36.7,LOW
leaf_curl,moderate,30.51,74.48,86.9,HIGH
mosaic,mild,31.64,16.8,52.3,HIGH
mosaic,severe,28.31,10.44,62.8,CRITICAL
mites,moderate,29.36,6.32,55.6,HIGH
leaf_curl,severe,24.68,0.34,73.1,CRITICAL
mites,moderate,38.0,10.75,83.6,HIGH
leaf_curl,mild,32.95,33.83,87.9,HIGH
anthracnose,moderate,22.41,3.36,79.9,MEDIUM
mites,mild,32.65,4.58,61.3,HIGH
anthracnose,severe,27.77,86.62,74.4,CRITICAL
anthracnose,mild,25.47,32.52,77.8,MEDIUM
mosaic,severe,30.43,62.13,68.1,CRITICAL
anthracnose,severe,20.13,44.68,77.0,CRITICAL
mosaic,severe,31.89,22.06,83.7,CRITICAL
anthracnose,moderate,29.43,3.85,93.9,HIGH
mites,severe,30.57,2.7,51.0,CRITICAL
mites,severe,26.43,7.24,63.0,HIGH
mites,mild,26.28,8.34,67.0,MEDIUM
mites,mild,27.86,33.76,52.5,LOW
mites,severe,25.74,34.07,55.5,MEDIUM
mites,mild,28.91,4.5,78.4,MEDIUM
mites,severe,36.03,7.95,82.6,CRITICAL
leaf_curl,mild,27.94,8.99,76.2,HIGH
anthracnose,severe,29.83,20.98,72.3,CRITICAL
anthracnose,mild,26.54,66.53,77.4,HIGH
leaf_curl,moderate,31.59,14.24,70.5,CRITICAL
mosaic,severe,29.6,17.47,38.8,CRITICAL
mites,severe,24.94,13.91,49.3,CRITICAL
leaf_curl,moderate,31.53,12.73,71.8,CRITICAL
mites,mild,28.67,2.82,64.7,HIGH
leaf_curl,moderate,22.46,104.78,81.3,CRITICAL
mosaic,moderate,27.32,9.57,70.9,CRITICAL
anthracnose,moderate,31.88,2.73,78.4,MEDIUM
anthracnose,severe,30.69,33.79,86.8,CRITICAL
anthracnose,moderate,23.19,9.01,87.0,MEDIUM
leaf_curl,severe,33.21,47.48,77.2,CRITICAL
mosaic,moderate,33.72,6.94,54.8,CRITICAL
mosaic,moderate,29.33,1.69,73.5,CRITICAL
mosaic,severe,30.3,8.54,81.9,CRITICAL
leaf_curl,mild,36.2,35.79,79.8,HIGH
anthracnose,mild,33.98,3.56,73.9,LOW
anthracnose,mild,30.36,3.58,75.8,MEDIUM
mosaic,mild,30.26,3.49,65.8,HIGH
anthracnose,mild,29.23,99.31,73.3,HIGH
leaf_curl,severe,26.94,60.14,80.4,CRITICAL
anthracnose,severe,32.94,45.5,73.0,HIGH
leaf_curl,severe,25.08,200.0,68.7,CRITICAL
mites,mild,28.53,2.25,47.0,HIGH
mosaic,moderate,26.2,15.12,56.3,CRITICAL
mosaic,moderate,24.93,14.49,78.7,MEDIUM
mites,mild,28.79,28.43,53.3,MEDIUM
anthracnose,severe,29.66,19.85,78.4,HIGH
leaf_curl,severe,31.45,28.65,67.8,CRITICAL
leaf_curl,moderate,31.4,13.88,86.5,CRITICAL
leaf_curl,severe,25.42,0.41,85.1,CRITICAL
leaf_curl,mild,25.68,5.48,86.9,MEDIUM
mosaic,moderate,27.75,1.15,58.3,CRITICAL
mites,moderate,29.91,26.65,65.0,MEDIUM
mosaic,severe,28.16,26.54,72.5,CRITICAL
anthracnose,moderate,27.31,62.5,68.6,CRITICAL
mosaic,moderate,26.88,46.47,63.2,HIGH
mosaic,severe,29.96,5.56,72.9,CRITICAL
anthracnose,mild,27.27,3.08,59.7,LOW
mosaic,moderate,27.86,9.93,72.3,CRITICAL
mites,severe,28.83,1.43,76.5,CRITICAL
mosaic,severe,33.28,25.14,62.7,CRITICAL
leaf_curl,mild,29.33,45.67,96.3,MEDIUM
anthracnose,moderate,30.41,41.68,84.8,CRITICAL
anthracnose,severe,25.83,27.02,72.2,CRITICAL
mites,mild,30.58,19.23,58.6,MEDIUM
anthracnose,mild,30.84,25.2,67.6,MEDIUM
mites,severe,31.51,6.33,56.3,CRITICAL
anthracnose,mild,26.14,0.54,75.4,MEDIUM
anthracnose,mild,33.68,104.1,84.0,MEDIUM
anthracnose,mild,29.01,34.48,84.4,HIGH
leaf_curl,severe,23.88,21.91,91.2,CRITICAL
anthracnose,moderate,25.78,28.65,89.6,CRITICAL
leaf_curl,moderate,30.27,17.37,69.4,CRITICAL
anthracnose,moderate,25.01,12.55,77.8,MEDIUM
anthracnose,moderate,25.98,31.52,93.1,CRITICAL
leaf_curl,severe,26.06,22.0,85.1,CRITICAL
mites,severe,30.44,0.86,43.9,CRITICAL
mosaic,severe,28.78,2.92,67.8,CRITICAL
anthracnose,severe,31.61,45.41,80.6,CRITICAL
leaf_curl,mild,28.61,1.19,84.9,HIGH
mites,mild,29.33,4.46,52.0,HIGH
anthracnose,mild,28.51,9.73,88.9,MEDIUM
leaf_curl,moderate,22.32,21.58,82.1,CRITICAL
anthracnose,mild,27.5,9.24,79.6,MEDIUM
mites,mild,26.06,13.39,71.9,LOW
mosaic,moderate,26.54,0.9,66.2,CRITICAL
leaf_curl,severe,28.69,39.49,86.7,CRITICAL
anthracnose,moderate,27.63,12.26,80.3,HIGH
mosaic,severe,31.29,15.18,62.8,CRITICAL
anthracnose,severe,32.67,6.49,75.2,LOW
mosaic,mild,30.85,26.27,32.3,HIGH
leaf_curl,severe,31.35,32.27,85.2,CRITICAL
leaf_curl,severe,25.4,20.34,80.7,CRITICAL
leaf_curl,moderate,24.03,70.74,64.4,HIGH
mosaic,mild,34.26,3.58,49.8,HIGH
leaf_curl,severe,30.4,42.94,74.6,CRITICAL
mites,moderate,27.59,4.02,59.9,HIGH
mites,mild,27.35,6.67,50.8,MEDIUM
leaf_curl,moderate,30.36,1.19,73.9,CRITICAL
leaf_curl,mild,21.1,15.18,81.7,MEDIUM
leaf_curl,moderate,26.17,12.55,94.2,CRITICAL
anthracnose,mild,34.13,5.53,79.7,LOW
anthracnose,moderate,32.33,15.57,77.9,LOW
mosaic,mild,28.96,40.59,65.9,MEDIUM
mosaic,mild,30.3,2.14,59.8,HIGH
anthracnose,moderate,23.07,90.19,83.3,CRITICAL
anthracnose,moderate,26.92,5.38,65.3,MEDIUM
anthracnose,mild,32.71,7.84,78.4,LOW
leaf_curl,severe,25.71,0.46,77.5,CRITICAL
leaf_curl,mild,29.87,98.69,88.0,MEDIUM
anthracnose,mild,26.37,4.78,92.0,MEDIUM
mites,severe,27.51,0.53,56.9,CRITICAL
leaf_curl,moderate,32.59,16.71,84.8,CRITICAL
anthracnose,moderate,30.77,17.07,69.9,MEDIUM
mites,mild,33.62,10.18,70.0,MEDIUM
leaf_curl,severe,25.23,175.55,72.5,CRITICAL
leaf_curl,moderate,28.15,50.08,58.6,HIGH
anthracnose,moderate,30.84,2.37,66.1,MEDIUM
mosaic,mild,30.86,18.26,66.4,MEDIUM
mosaic,moderate,25.1,39.09,63.1,HIGH
mosaic,moderate,27.21,7.24,79.8,CRITICAL
anthracnose,severe,20.31,56.33,82.0,CRITICAL
leaf_curl,mild,26.02,1.5,81.7,HIGH
mosaic,mild,30.97,9.09,63.7,HIGH
anthracnose,moderate,24.19,9.21,74.0,MEDIUM
mosaic,mild,30.87,19.42,54.5,HIGH
anthracnose,moderate,30.53,98.85,68.9,CRITICAL
anthracnose,severe,18.97,1.32,82.2,MEDIUM
mites,mild,33.06,4.59,75.2,MEDIUM
mites,moderate,28.86,20.55,55.1,MEDIUM
leaf_curl,moderate,34.12,3.83,85.2,HIGH
anthracnose,moderate,32.92,6.0,96.1,MEDIUM
mosaic,mild,28.33,13.33,49.5,HIGH
mosaic,mild,30.59,16.4,72.4,MEDIUM
anthracnose,severe,23.47,5.21,89.1,HIGH
mosaic,mild,23.04,4.15,73.5,MEDIUM
mites,moderate,30.43,3.58,64.2,CRITICAL
anthracnose,severe,34.67,4.71,68.7,LOW
anthracnose,moderate,27.69,23.57,90.6,CRITICAL
anthracnose,severe,29.11,71.97,63.6,CRITICAL
anthracnose,moderate,25.19,8.95,77.2,MEDIUM
mites,moderate,29.24,5.76,54.4,CRITICAL
mosaic,moderate,25.39,17.3,61.8,HIGH
leaf_curl,mild,27.89,6.64,67.1,HIGH
mosaic,mild,30.23,31.77,55.1,MEDIUM
mosaic,mild,27.86,0.0,82.7,MEDIUM
mosaic,mild,28.93,10.42,35.5,HIGH
mites,moderate,26.63,1.48,55.0,HIGH
leaf_curl,severe,24.49,11.87,75.5,CRITICAL
mosaic,moderate,21.97,4.26,73.8,HIGH
leaf_curl,mild,31.91,21.85,78.1,HIGH
mosaic,severe,24.32,0.62,67.8,CRITICAL
anthracnose,severe,24.95,33.86,87.5,CRITICAL
anthracnose,severe,27.86,1.19,76.8,HIGH
mites,mild,33.88,7.68,60.9,MEDIUM
mites,moderate,31.48,3.52,41.1,CRITICAL
mites,mild,33.0,11.14,76.5,MEDIUM
anthracnose,severe,27.59,11.67,68.8,HIGH
mosaic,severe,25.96,5.88,43.4,CRITICAL
anthracnose,mild,30.3,11.1,87.8,MEDIUM
mosaic,moderate,25.66,15.95,68.3,HIGH
mites,severe,33.07,4.45,57.4,CRITICAL
mites,moderate,30.72,6.94,49.1,CRITICAL
mites,mild,32.27,15.84,50.8,MEDIUM
mites,mild,28.84,0.54,50.0,HIGH
anthracnose,mild,25.04,7.77,79.1,MEDIUM
mosaic,mild,24.17,6.04,49.7,MEDIUM
anthracnose,mild,27.41,1.39,80.8,MEDIUM
mites,severe,27.31,20.87,36.0,HIGH
leaf_curl,mild,22.84,25.38,70.3,HIGH
leaf_curl,mild,27.07,40.69,71.6,HIGH
leaf_curl,moderate,33.3,21.89,95.6,HIGH
leaf_curl,moderate,32.99,22.32,77.1,CRITICAL
mites,moderate,30.42,16.96,56.9,MEDIUM
anthracnose,severe,24.77,9.96,84.9,CRITICAL
leaf_curl,moderate,27.28,2.75,71.9,CRITICAL
leaf_curl,severe,29.78,9.02,93.5,CRITICAL
mosaic,moderate,27.52,0.79,43.9,CRITICAL
mosaic,mild,27.73,42.9,89.0,LOW
anthracnose,mild,30.35,31.97,87.2,HIGH
leaf_curl,moderate,31.89,16.13,75.5,CRITICAL
leaf_curl,mild,29.16,14.33,78.8,HIGH
mosaic,moderate,28.08,1.6,65.0,CRITICAL
mites,severe,29.7,20.66,33.7,CRITICAL
leaf_curl,severe,34.35,7.29,78.7,CRITICAL
anthracnose,mild,21.03,36.21,76.5,MEDIUM
leaf_curl,mild,24.3,13.41,75.1,HIGH
anthracnose,mild,26.15,10.22,78.8,MEDIUM
anthracnose,severe,20.61,39.13,72.4,CRITICAL
mosaic,mild,28.24,13.13,63.2,MEDIUM
anthracnose,mild,31.87,86.89,76.5,HIGH
mites,severe,27.15,11.62,61.0,HIGH
mites,severe,26.08,6.98,60.8,HIGH
mites,mild,32.97,21.28,61.6,MEDIUM
leaf_curl,severe,26.38,5.62,83.5,CRITICAL
leaf_curl,mild,24.82,4.63,78.7,HIGH
mosaic,severe,32.01,5.43,59.8,CRITICAL
mites,moderate,28.14,1.43,76.2,CRITICAL
mites,moderate,28.23,0.25,57.6,CRITICAL
leaf_curl,moderate,26.42,4.67,75.3,CRITICAL
anthracnose,moderate,31.84,24.61,74.6,HIGH
mites,mild,28.59,2.01,66.0,HIGH
leaf_curl,mild,28.0,42.45,71.0,HIGH
mites,severe,26.12,9.95,74.5,HIGH
mites,moderate,32.43,17.72,60.9,MEDIUM
mosaic,mild,27.08,6.74,38.8,HIGH
leaf_curl,mild,29.2,7.95,86.5,MEDIUM
anthracnose,moderate,24.62,51.88,88.8,CRITICAL
leaf_curl,moderate,34.67,6.41,80.9,CRITICAL
leaf_curl,mild,34.03,125.34,75.2,MEDIUM
leaf_curl,moderate,26.43,6.27,73.9,CRITICAL
mosaic,mild,25.28,11.74,54.9,HIGH
mites,severe,35.38,3.95,62.8,CRITICAL
mosaic,severe,26.32,11.2,76.1,CRITICAL
anthracnose,moderate,25.59,15.67,82.9,HIGH
mosaic,moderate,25.93,17.48,71.9,HIGH
leaf_curl,severe,27.03,72.98,72.8,CRITICAL
mosaic,moderate,30.91,21.05,47.0,CRITICAL
anthracnose,moderate,22.67,2.03,100.0,MEDIUM
mites,severe,27.12,15.13,43.0,HIGH
leaf_curl,mild,29.71,84.9,86.1,MEDIUM
anthracnose,moderate,26.64,24.3,84.2,CRITICAL
anthracnose,mild,26.99,1.23,75.9,MEDIUM
leaf_curl,mild,23.13,53.46,73.3,HIGH
mosaic,moderate,28.29,9.39,60.5,CRITICAL
anthracnose,moderate,28.66,65.47,85.3,CRITICAL
leaf_curl,severe,25.28,17.95,81.1,CRITICAL
anthracnose,mild,31.61,5.96,90.7,MEDIUM
anthracnose,moderate,32.68,59.71,90.3,HIGH
leaf_curl,mild,26.92,1.15,88.2,MEDIUM
leaf_curl,moderate,25.08,49.15,74.2,CRITICAL
anthracnose,mild,27.04,31.38,61.9,MEDIUM
mites,mild,31.66,2.71,47.1,HIGH
mites,mild,29.53,1.49,54.7,HIGH
leaf_curl,moderate,29.86,4.74,77.9,CRITICAL
leaf_curl,severe,25.32,0.19,77.4,CRITICAL
anthracnose,mild,29.6,40.87,70.4,MEDIUM
leaf_curl,mild,32.62,75.54,61.4,MEDIUM
leaf_curl,mild,31.05,47.05,71.5,HIGH
mites,mild,25.88,9.71,58.5,MEDIUM
mites,moderate,27.98,8.82,40.3,HIGH
anthracnose,moderate,29.79,34.47,81.0,CRITICAL
mosaic,moderate,27.12,11.4,79.5,HIGH
leaf_curl,moderate,27.84,24.3,81.9,CRITICAL
leaf_curl,mild,26.94,16.86,84.0,HIGH
mites,mild,29.47,2.77,60.8,HIGH
mites,mild,29.21,3.17,46.3,HIGH
mosaic,mild,30.86,13.1,48.0,HIGH
mosaic,mild,30.77,9.39,71.6,HIGH
mites,mild,29.19,17.23,71.9,LOW
anthracnose,mild,29.33,17.96,68.3,MEDIUM
mosaic,moderate,29.86,24.43,79.5,HIGH
anthracnose,moderate,27.03,47.4,73.5,HIGH
mosaic,severe,24.23,26.21,42.5,CRITICAL
leaf_curl,severe,34.77,43.96,97.9,HIGH
mites,moderate,31.64,28.93,67.2,MEDIUM
anthracnose,severe,33.15,17.19,77.5,LOW
leaf_curl,moderate,25.18,2.54,68.5,CRITICAL
anthracnose,moderate,32.28,50.11,62.3,MEDIUM
leaf_curl,mild,23.91,11.38,91.8,HIGH
anthracnose,moderate,31.72,3.61,73.9,MEDIUM
leaf_curl,mild,37.41,15.05,82.9,HIGH
anthracnose,severe,36.04,14.18,83.0,MEDIUM
leaf_curl,severe,26.29,0.89,79.8,CRITICAL
anthracnose,severe,22.69,0.25,97.7,HIGH
anthracnose,mild,27.3,14.87,79.1,MEDIUM
anthracnose,mild,30.81,12.73,76.6,MEDIUM
mosaic,mild,30.11,3.99,61.4,HIGH
leaf_curl,severe,29.35,5.44,74.3,CRITICAL
anthracnose,severe,22.32,13.96,86.3,HIGH
mosaic,moderate,27.87,1.15,53.5,CRITICAL
mites,severe,34.63,30.38,49.5,CRITICAL
mites,moderate,26.95,2.47,63.0,HIGH
mites,severe,27.61,1.02,59.9,CRITICAL
anthracnose,mild,28.6,47.66,70.7,MEDIUM
mosaic,severe,27.94,3.59,73.8,CRITICAL
anthracnose,mild,28.91,24.11,63.9,MEDIUM
leaf_curl,moderate,23.92,65.43,78.0,CRITICAL
leaf_curl,moderate,27.07,3.85,70.5,CRITICAL
mites,severe,24.49,18.27,58.9,MEDIUM
mites,mild,36.83,9.18,79.3,MEDIUM
mites,severe,34.34,17.58,76.7,MEDIUM
leaf_curl,severe,28.95,15.4,80.2,CRITICAL
anthracnose,mild,27.1,39.11,82.2,HIGH
anthracnose,severe,28.68,8.57,77.8,HIGH
anthracnose,moderate,24.86,14.14,76.6,MEDIUM
anthracnose,moderate,22.39,86.71,76.7,HIGH
mites,mild,27.71,2.99,55.1,MEDIUM
anthracnose,moderate,32.93,100.13,80.4,HIGH
mites,severe,25.37,29.32,55.6,MEDIUM
anthracnose,severe,29.58,30.98,78.4,CRITICAL
mites,moderate,25.87,1.08,45.0,CRITICAL
mites,mild,28.1,22.46,74.6,LOW
anthracnose,moderate,27.53,7.69,70.1,MEDIUM
leaf_curl,severe,29.41,21.37,71.9,CRITICAL
mites,severe,30.89,32.15,88.9,MEDIUM
mosaic,moderate,34.32,23.98,57.8,CRITICAL
leaf_curl,moderate,24.33,27.02,74.2,CRITICAL
anthracnose,severe,30.12,3.34,85.5,CRITICAL
leaf_curl,moderate,28.93,1.86,79.7,CRITICAL
leaf_curl,mild,23.94,86.27,76.2,HIGH
mosaic,moderate,29.1,1.66,71.9,CRITICAL
mites,mild,27.96,5.67,57.2,MEDIUM
mites,severe,34.0,2.03,53.3,CRITICAL
leaf_curl,mild,29.76,25.78,74.0,HIGH
leaf_curl,moderate,27.5,58.24,75.0,CRITICAL
mosaic,moderate,23.55,6.42,64.2,HIGH
anthracnose,mild,26.75,29.26,69.6,MEDIUM
leaf_curl,mild,29.0,34.78,83.7,HIGH
leaf_curl,mild,27.13,25.0,60.7,HIGH
anthracnose,mild,34.72,28.56,81.8,MEDIUM
leaf_curl,moderate,24.6,77.47,81.1,CRITICAL
mosaic,moderate,32.25,0.28,69.4,CRITICAL
mosaic,mild,21.42,29.04,46.6,MEDIUM
mites,mild,34.37,12.12,58.8,MEDIUM
anthracnose,mild,30.22,18.23,73.2,MEDIUM
anthracnose,mild,23.11,22.8,65.8,MEDIUM
anthracnose,severe,27.72,25.18,81.6,CRITICAL
mosaic,severe,29.79,7.13,53.9,CRITICAL
mites,moderate,32.84,13.77,66.8,HIGH
leaf_curl,severe,23.95,27.49,72.4,CRITICAL
anthracnose,severe,28.49,29.79,79.2,CRITICAL
anthracnose,mild,29.68,32.53,85.0,HIGH
leaf_curl,moderate,27.71,40.0,69.7,CRITICAL
anthracnose,mild,25.4,5.38,83.7,MEDIUM
anthracnose,severe,35.81,33.14,92.8,HIGH
leaf_curl,moderate,25.41,54.81,69.3,CRITICAL
mosaic,severe,33.46,9.23,50.3,CRITICAL
mites,mild,29.18,9.49,64.1,MEDIUM
mosaic,moderate,27.96,52.46,57.9,HIGH
