green_ratio,yellow_ratio,orange_ratio,avg_temp,max_temp,min_temp,ripeness_stage,taste,quality_grade,buying_recommendation
0.089,0.702,0.209,23.8,26.7,21.05,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.525,0.51,0.01,15.41,18.05,12.76,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.123,0.619,0.258,13.75,15.73,10.89,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.498,0.436,0.066,14.13,16.27,10.84,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.089,0.602,0.309,22.96,25.81,20.49,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.649,0.217,0.135,13.28,16.28,10.19,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.918,0.041,0.041,14.48,17.46,11.89,Unripe,Bland or bitter,Grade_3,Do not buy
0.906,0.146,0.01,26.68,28.35,23.78,Unripe,Bitter vegetal,Grade_3,Do not buy
0.565,0.364,0.071,28.42,31.09,25.2,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.526,0.436,0.038,29.75,32.21,27.5,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.906,0.06,0.034,24.67,27.11,23.06,Unripe,Bitter vegetal,Grade_3,Do not buy
0.574,0.224,0.203,26.23,28.53,23.77,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.812,0.093,0.094,14.31,15.9,11.03,Unripe,Bland or bitter,Grade_3,Do not buy
0.256,0.699,0.046,25.27,27.1,23.34,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.409,0.549,0.042,31.69,33.75,28.28,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.328,0.618,0.054,23.89,26.16,21.93,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.403,0.454,0.143,13.78,15.9,10.65,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.687,0.233,0.081,15.73,18.46,13.4,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.537,0.53,0.01,13.14,15.6,9.67,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.425,0.512,0.062,14.18,16.62,11.85,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.605,0.211,0.184,26.56,29.89,23.89,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.495,0.514,0.01,14.13,17.54,11.42,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.834,0.111,0.055,24.29,26.79,21.84,Unripe,Bitter vegetal,Grade_3,Do not buy
0.133,0.646,0.221,28.44,30.75,26.67,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.556,0.351,0.093,26.02,28.75,22.56,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.111,0.695,0.194,14.66,17.19,11.6,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.629,0.324,0.046,15.59,18.07,13.57,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.642,0.396,0.01,31.17,32.82,29.41,Color Break,Fermented or mushy,Grade_2,Buy and consume immediately
0.176,0.573,0.252,13.42,16.71,10.97,Mostly Ripe,Bland or bitter,Grade_2,Highly recommended
0.284,0.576,0.141,22.7,24.56,21.03,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.374,0.469,0.157,13.62,15.76,11.93,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.098,0.703,0.199,14.53,16.59,11.42,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.7,0.237,0.063,24.35,27.37,21.79,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.494,0.409,0.097,31.44,33.96,28.87,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.816,0.084,0.1,14.6,16.46,11.97,Unripe,Bland or bitter,Grade_3,Do not buy
0.718,0.218,0.064,14.61,17.46,11.53,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.875,0.04,0.085,14.61,17.24,12.35,Unripe,Bland or bitter,Grade_3,Do not buy
0.417,0.535,0.048,23.72,26.43,21.75,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.17,0.573,0.257,23.3,26.42,21.69,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.518,0.408,0.074,25.98,28.28,22.55,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.93,0.128,0.01,13.77,16.71,11.2,Unripe,Bland or bitter,Grade_3,Do not buy
0.645,0.368,0.01,13.62,16.59,11.06,Color Break,Bland or bitter,Grade_2,Can buy and ripen
0.121,0.715,0.164,13.26,15.83,11.66,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.417,0.42,0.163,27.45,29.13,25.67,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.551,0.223,0.226,31.97,35.33,28.81,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.343,0.569,0.088,28.91,32.26,25.96,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.16,0.667,0.173,32.0,33.83,28.87,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.283,0.628,0.089,29.96,32.89,26.66,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.675,0.308,0.017,29.78,32.04,27.19,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.531,0.494,0.01,27.2,28.98,24.11,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.674,0.307,0.019,15.68,18.6,12.62,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.579,0.241,0.18,24.97,28.11,23.25,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.135,0.619,0.246,28.75,31.07,25.71,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.051,0.69,0.259,31.0,34.41,28.81,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.395,0.464,0.141,25.57,27.28,23.56,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.123,0.689,0.188,13.31,16.22,11.5,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.265,0.641,0.094,26.18,29.5,24.44,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.074,0.625,0.302,26.69,29.23,24.0,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.23,0.558,0.212,14.01,15.73,11.68,Mostly Ripe,Bland or bitter,Grade_2,Highly recommended
0.523,0.538,0.01,32.59,34.16,29.27,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.6,0.316,0.085,13.5,16.16,10.73,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.553,0.333,0.115,27.31,30.53,24.74,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.068,0.645,0.287,30.13,32.33,27.7,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.275,0.607,0.118,29.47,31.88,26.92,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.866,0.078,0.056,14.68,16.33,11.67,Unripe,Bland or bitter,Grade_3,Do not buy
0.841,0.138,0.021,26.5,29.74,24.19,Unripe,Bitter vegetal,Grade_3,Do not buy
0.883,0.06,0.057,13.59,16.69,11.73,Unripe,Bland or bitter,Grade_3,Do not buy
0.681,0.248,0.072,23.72,26.88,21.42,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.684,0.241,0.075,28.07,31.04,24.87,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.175,0.681,0.144,14.93,17.11,12.91,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.088,0.689,0.223,25.62,27.85,22.4,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.833,0.147,0.02,30.83,34.12,27.73,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.235,0.553,0.212,31.17,33.1,28.38,Mostly Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.234,0.57,0.196,25.96,29.28,24.22,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.108,0.641,0.251,32.15,33.86,30.37,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.203,0.59,0.207,15.2,17.05,11.87,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.092,0.657,0.251,28.83,30.7,27.15,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.504,0.41,0.086,32.58,34.67,29.94,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.098,0.7,0.203,29.07,31.1,26.38,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.808,0.09,0.103,14.79,16.98,12.59,Unripe,Bland or bitter,Grade_3,Do not buy
0.862,0.115,0.023,24.8,27.9,21.91,Unripe,Bitter vegetal,Grade_3,Do not buy
0.077,0.689,0.234,14.08,17.16,11.2,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.454,0.413,0.133,15.87,18.69,12.99,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.52,0.437,0.043,14.47,17.31,12.88,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.888,0.15,0.01,29.56,32.46,27.47,Unripe,Bitter vegetal,Grade_3,Do not buy
0.535,0.546,0.01,32.31,34.72,29.77,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.279,0.648,0.074,30.41,33.3,28.23,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.695,0.213,0.092,13.95,16.92,11.41,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.235,0.681,0.083,32.95,36.2,30.39,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.941,0.126,0.01,15.99,17.57,13.53,Unripe,Bitter vegetal,Grade_3,Do not buy
0.466,0.441,0.093,14.19,17.16,12.69,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.097,0.645,0.259,15.56,18.88,13.97,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.572,0.278,0.15,13.37,15.05,11.04,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.138,0.742,0.12,28.84,31.14,25.66,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.835,0.13,0.036,13.36,15.23,10.3,Unripe,Bland or bitter,Grade_3,Do not buy
0.42,0.409,0.171,26.92,29.47,24.9,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.102,0.674,0.225,15.99,17.94,13.42,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.109,0.687,0.204,13.27,16.55,9.86,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.722,0.362,0.01,28.43,29.95,25.54,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.56,0.307,0.134,15.89,19.09,13.4,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.446,0.489,0.065,31.39,34.62,28.42,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.654,0.374,0.01,13.74,16.91,10.84,Color Break,Bland or bitter,Grade_2,Can buy and ripen
0.118,0.693,0.189,23.29,25.72,20.03,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.051,0.723,0.226,27.04,30.21,24.53,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.801,0.064,0.135,31.16,33.41,29.64,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.132,0.619,0.249,22.59,24.78,19.83,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.536,0.415,0.048,28.34,30.17,25.3,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.292,0.621,0.087,22.87,26.32,19.44,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.912,0.046,0.042,22.62,24.87,19.49,Unripe,Bitter vegetal,Grade_3,Do not buy
0.838,0.03,0.132,32.72,35.12,30.89,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.509,0.504,0.01,22.91,24.67,19.68,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.543,0.405,0.053,27.05,30.07,24.66,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.612,0.264,0.123,15.17,17.98,12.94,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.93,0.087,0.01,15.9,17.71,13.5,Unripe,Bitter vegetal,Grade_3,Do not buy
0.656,0.204,0.14,23.97,26.7,20.88,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.098,0.618,0.284,25.93,27.88,24.11,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.898,0.069,0.033,14.77,16.29,13.13,Unripe,Bland or bitter,Grade_3,Do not buy
0.859,0.088,0.054,14.8,18.21,11.48,Unripe,Bland or bitter,Grade_3,Do not buy
0.295,0.662,0.043,30.85,33.35,28.12,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.905,0.097,0.01,13.03,16.29,11.36,Unripe,Bland or bitter,Grade_3,Do not buy
0.132,0.654,0.214,27.39,30.49,25.49,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.583,0.221,0.196,26.03,28.77,23.31,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.61,0.387,0.01,31.92,35.05,30.26,Color Break,Fermented or mushy,Grade_2,Buy and consume immediately
0.329,0.632,0.039,15.45,17.28,13.07,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.122,0.689,0.189,31.08,34.53,28.9,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.586,0.358,0.056,24.99,27.8,22.83,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.458,0.474,0.068,24.52,26.08,22.5,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.096,0.73,0.173,26.21,29.69,24.63,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.137,0.687,0.176,26.13,28.82,23.04,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.281,0.699,0.02,24.3,27.06,21.33,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.576,0.343,0.081,23.4,25.92,21.07,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.057,0.666,0.278,30.96,33.18,28.28,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.583,0.278,0.139,31.28,33.96,28.59,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.429,0.436,0.135,26.92,29.32,24.08,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.179,0.617,0.203,27.24,29.08,25.67,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.497,0.5,0.01,32.03,35.26,30.12,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.172,0.59,0.237,13.17,15.95,11.22,Mostly Ripe,Bland or bitter,Grade_2,Highly recommended
0.068,0.613,0.319,13.31,15.77,10.44,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.153,0.598,0.248,29.27,31.75,26.44,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.821,0.034,0.145,29.01,30.83,27.13,Unripe,Bitter vegetal,Grade_3,Do not buy
0.696,0.231,0.073,13.7,16.88,10.31,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.687,0.299,0.014,30.85,34.21,27.97,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.901,0.056,0.043,24.47,26.67,22.65,Unripe,Bitter vegetal,Grade_3,Do not buy
0.471,0.448,0.081,15.6,18.23,12.62,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.932,0.078,0.01,25.84,29.09,23.7,Unripe,Bitter vegetal,Grade_3,Do not buy
0.137,0.656,0.207,13.89,16.12,11.6,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.12,0.658,0.222,23.69,25.33,20.98,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.684,0.324,0.01,24.4,26.86,22.85,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.084,0.657,0.259,30.67,32.96,28.07,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.699,0.343,0.01,30.15,31.8,26.74,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.898,0.076,0.026,24.9,27.37,22.88,Unripe,Bitter vegetal,Grade_3,Do not buy
0.843,0.067,0.09,25.2,28.13,23.15,Unripe,Bitter vegetal,Grade_3,Do not buy
0.862,0.045,0.093,13.54,15.41,11.45,Unripe,Bland or bitter,Grade_3,Do not buy
0.709,0.237,0.054,24.62,27.22,23.04,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.895,0.144,0.01,14.8,17.89,12.01,Unripe,Bland or bitter,Grade_3,Do not buy
0.826,0.073,0.1,30.78,33.84,28.73,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.515,0.464,0.022,15.0,17.35,13.2,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.835,0.134,0.03,14.42,17.2,11.7,Unripe,Bland or bitter,Grade_3,Do not buy
0.105,0.635,0.261,25.47,27.52,22.78,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.685,0.289,0.026,26.12,27.83,23.17,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.466,0.441,0.093,32.47,34.77,30.24,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.219,0.643,0.139,31.35,34.13,29.31,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.669,0.336,0.01,24.78,28.27,21.96,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.106,0.71,0.185,14.4,16.25,11.52,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.59,0.307,0.103,13.29,15.39,9.83,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.097,0.657,0.245,13.36,16.54,10.82,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.112,0.613,0.274,23.14,24.96,21.51,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.174,0.584,0.242,14.03,16.63,11.91,Mostly Ripe,Bland or bitter,Grade_2,Highly recommended
0.629,0.289,0.081,32.6,35.25,29.96,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.228,0.625,0.147,25.2,28.45,21.96,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.311,0.669,0.02,22.9,24.71,20.96,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.741,0.315,0.01,15.8,19.14,13.32,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.891,0.122,0.01,13.52,16.36,11.78,Unripe,Bland or bitter,Grade_3,Do not buy
0.872,0.091,0.038,13.7,17.07,10.45,Unripe,Bland or bitter,Grade_3,Do not buy
0.206,0.678,0.117,31.01,32.82,29.39,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.506,0.469,0.025,28.29,31.76,26.31,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.178,0.568,0.253,13.91,16.43,10.42,Mostly Ripe,Bland or bitter,Grade_2,Highly recommended
0.313,0.642,0.045,30.64,33.58,27.55,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.231,0.648,0.121,30.41,33.38,27.37,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.802,0.08,0.118,22.6,25.46,20.72,Unripe,Bitter vegetal,Grade_3,Do not buy
0.893,0.069,0.038,15.5,18.92,13.03,Unripe,Bitter vegetal,Grade_3,Do not buy
0.816,0.096,0.088,26.72,28.48,23.49,Unripe,Bitter vegetal,Grade_3,Do not buy
0.199,0.648,0.154,25.57,28.64,22.29,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.541,0.518,0.01,13.95,16.0,10.59,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.838,0.124,0.038,24.98,27.75,22.25,Unripe,Bitter vegetal,Grade_3,Do not buy
0.563,0.304,0.133,13.45,15.05,11.87,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.699,0.332,0.01,15.41,17.68,12.98,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.748,0.394,0.01,26.42,28.12,23.6,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.126,0.64,0.234,32.84,35.9,30.88,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.345,0.65,0.01,13.03,15.82,10.47,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.558,0.394,0.048,23.96,26.44,20.62,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.254,0.642,0.103,22.72,24.67,20.47,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.636,0.288,0.076,14.84,17.69,12.35,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.353,0.549,0.099,15.01,17.6,12.24,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.194,0.697,0.109,28.9,31.04,25.9,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.604,0.308,0.088,31.43,34.86,28.95,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.823,0.071,0.106,31.72,33.81,29.09,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.288,0.681,0.031,26.31,28.92,23.18,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.124,0.732,0.144,23.47,25.38,20.86,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.91,0.104,0.01,24.28,27.47,21.1,Unripe,Bitter vegetal,Grade_3,Do not buy
0.925,0.031,0.044,31.39,34.58,28.95,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.1,0.619,0.281,25.72,28.4,23.43,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.862,0.113,0.025,13.01,15.29,10.71,Unripe,Bland or bitter,Grade_3,Do not buy
0.931,0.091,0.01,23.02,25.49,20.32,Unripe,Bitter vegetal,Grade_3,Do not buy
0.67,0.205,0.125,13.97,16.96,10.5,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.592,0.365,0.043,14.56,16.93,12.88,Color Break,Bland or bitter,Grade_2,Can buy and ripen
0.194,0.64,0.166,15.21,17.05,12.43,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.249,0.577,0.174,31.74,34.38,29.06,Mostly Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.187,0.604,0.209,22.63,25.3,19.74,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.736,0.357,0.01,13.17,16.35,11.3,Color Break,Bland or bitter,Grade_2,Can buy and ripen
0.311,0.619,0.071,28.4,31.71,25.08,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
